,BirdID,Brood.code,Chick.code,social.fem,social.male,Age,Date,Year,Time,Mass,Chick.order,Air.temp,max.temp,CF.brood.no,f.cc,femID,m.cc,maleID,maxage,surv
242,10103,R047,CR0136,YO/MB,NA,5,23/05/2018,2018,10:42:00,7.1,4,20.1,30.5182705,NA,YO/MB,8693,NA,NA,5,1
243,10104,R046,CR0137,WR/YM,CW/NM,2,20/05/2018,2018,07:45:00,2.6,3,12.5,23.7,R047,WR/YM,9066,CW/NM,9893,10,0
245,10104,R047,CR0137,YO/MB,NA,5,23/05/2018,2018,10:42:00,7,2,20.1,31.75601512,NA,YO/MB,8693,NA,NA,10,1
244,10104,R047,CR0137,YO/MB,NA,10,28/05/2018,2018,12:00:00,15.3,1,24.5,39.21120094,NA,YO/MB,8693,NA,NA,10,1
246,10105,R046,CR0138,WR/YM,CW/NM,2,20/05/2018,2018,07:45:00,3.2,4,12.5,22.7,R047,WR/YM,9066,CW/NM,9893,5,1
247,10105,R047,CR0138,YO/MB,NA,5,23/05/2018,2018,10:42:00,8.6,3,20.1,32.43851595,NA,YO/MB,8693,NA,NA,5,1
248,10106,R049,CR0139,OO/YM,YR/YM,2,20/05/2018,2018,09:14:00,1.9,1,17.2,29.4,R046,OO/YM,9121,YR/YM,9143,2,1
251,10107,R049,CR0140,OO/YM,YR/YM,2,20/05/2018,2018,09:14:00,4,2,17.2,28.6,R046,OO/YM,9121,YR/YM,9143,10,1
249,10107,R046,CR0140,WR/YM,CW/NM,5,23/05/2018,2018,08:28:00,6,1,18.5,33.2,NA,WR/YM,9066,CW/NM,9893,10,0
250,10107,R046,CR0140,WR/YM,CW/NM,10,28/05/2018,2018,08:11:00,8.5,3,17.5,35.9,NA,WR/YM,9066,CW/NM,9893,10,1
253,10108,R049,CR0141,OO/YM,YR/YM,2,20/05/2018,2018,09:14:00,4,3,17.4,28.42473308,R046,OO/YM,9121,YR/YM,9143,10,1
254,10108,R046,CR0141,WR/YM,CW/NM,5,23/05/2018,2018,08:28:00,8.2,2,18.1,34.1,NA,WR/YM,9066,CW/NM,9893,10,1
252,10108,R046,CR0141,WR/YM,CW/NM,10,28/05/2018,2018,08:11:00,18.1,2,17.4,37.76923792,NA,WR/YM,9066,CW/NM,9893,10,1
257,10109,R049,CR0142,OO/YM,YR/YM,2,20/05/2018,2018,09:14:00,4.4,4,17.5,26.50809841,R046,OO/YM,9121,YR/YM,9143,10,1
255,10109,R046,CR0142,WR/YM,CW/NM,5,23/05/2018,2018,08:28:00,8.4,3,17.8,32.3,NA,WR/YM,9066,CW/NM,9893,10,1
256,10109,R046,CR0142,WR/YM,CW/NM,10,28/05/2018,2018,08:11:00,19.4,1,17.4,39.95103649,NA,WR/YM,9066,CW/NM,9893,10,1
258,10110,R047,CR0143,YO/MB,NA,2,20/05/2018,2018,09:29:00,3.2,1,18.4,33.11409263,R049,YO/MB,8693,NA,NA,12,1
261,10110,R049,CR0143,OO/YM,YR/YM,5,23/05/2018,2018,10:31:00,9,4,19.8,33.37967845,NA,OO/YM,9121,YR/YM,9143,12,1
260,10110,R049,CR0143,OO/YM,YR/YM,10,28/05/2018,2018,11:38:00,19.4,1,23.4,38.0194199,NA,OO/YM,9121,YR/YM,9143,12,1
259,10110,R049,CR0143,OO/YM,YR/YM,12,30/05/2018,2018,11:02:00,22.2,2,17.5,39.28066948,NA,OO/YM,9121,YR/YM,9143,12,1
264,10111,R047,CR0144,YO/MB,NA,2,20/05/2018,2018,09:29:00,2.5,2,18.4,32.52562723,R049,YO/MB,8693,NA,NA,12,1
265,10111,R049,CR0144,OO/YM,YR/YM,5,23/05/2018,2018,10:31:00,5.8,3,19.7,33.15682803,NA,OO/YM,9121,YR/YM,9143,12,1
263,10111,R049,CR0144,OO/YM,YR/YM,10,28/05/2018,2018,11:38:00,11.7,3,23.5,37.9429786,NA,OO/YM,9121,YR/YM,9143,12,1
262,10111,R049,CR0144,OO/YM,YR/YM,12,30/05/2018,2018,11:02:00,14.6,3,17.7,37.16007365,NA,OO/YM,9121,YR/YM,9143,12,1
267,10112,R047,CR0145,YO/MB,NA,2,20/05/2018,2018,09:29:00,3.5,3,18.5,31.44554468,R049,YO/MB,8693,NA,NA,12,1
269,10112,R049,CR0145,OO/YM,YR/YM,5,23/05/2018,2018,10:31:00,9.2,2,19.6,34.94829325,NA,OO/YM,9121,YR/YM,9143,12,1
266,10112,R049,CR0145,OO/YM,YR/YM,10,28/05/2018,2018,11:38:00,20.8,2,23.5,39.23000248,NA,OO/YM,9121,YR/YM,9143,12,0
268,10112,R049,CR0145,OO/YM,YR/YM,12,30/05/2018,2018,11:02:00,23,1,17.4,37.5,NA,OO/YM,9121,YR/YM,9143,12,1
271,10113,R047,CR0146,YO/MB,NA,2,20/05/2018,2018,09:29:00,2.7,4,18.5,29.46690336,R049,YO/MB,8693,NA,NA,5,1
270,10113,R049,CR0146,OO/YM,YR/YM,5,23/05/2018,2018,10:31:00,4.6,1,19.5,35.30622919,NA,OO/YM,9121,YR/YM,9143,5,1
272,10114,R048,CR0147,NM/DY,YM/VV,2,21/05/2018,2018,08:28:00,4.3,1,15.1,31.39960413,R050,NM/DY,9571,YM/VV,8978,12,1
273,10114,R050,CR0147,VB/MB,BV/MB,5,24/05/2018,2018,09:26:00,9.7,3,16.8,32.4,NA,VB/MB,8687,BV/MB,8649,12,1
275,10114,R050,CR0147,VB/MB,BV/MB,10,29/05/2018,2018,09:23:00,19.8,1,19.5,38.98951211,NA,VB/MB,8687,BV/MB,8649,12,1
274,10114,R050,CR0147,VB/MB,BV/MB,12,31/05/2018,2018,11:49:00,22.6,3,23.4,40,NA,VB/MB,8687,BV/MB,8649,12,1
277,10115,R048,CR0148,NM/DY,YM/VV,2,21/05/2018,2018,08:28:00,3.2,2,15.1,30.86999218,R050,NM/DY,9571,YM/VV,8978,5,1
276,10115,R050,CR0148,VB/MB,BV/MB,5,24/05/2018,2018,09:26:00,5.5,4,16.9,30.6,NA,VB/MB,8687,BV/MB,8649,5,1
280,10116,R050,CR0149,VB/MB,BV/MB,2,21/05/2018,2018,08:44:00,6,1,15,31.58297204,R048,VB/MB,8687,BV/MB,8649,10,1
279,10116,R048,CR0149,NM/DY,YM/VV,5,24/05/2018,2018,08:55:00,13.1,2,13.9,33.6863101,NA,NM/DY,9571,YM/VV,8978,10,0
278,10116,R048,CR0149,NM/DY,YM/VV,10,29/05/2018,2018,07:16:00,25.1,1,16.4,38.40495088,NA,NM/DY,9571,YM/VV,8978,10,1
283,10117,R050,CR0150,VB/MB,BV/MB,2,21/05/2018,2018,08:44:00,5.1,2,14.2,35.36837244,R048,VB/MB,8687,BV/MB,8649,10,1
282,10117,R048,CR0150,NM/DY,YM/VV,5,24/05/2018,2018,08:55:00,11.5,1,13.9,32.26111543,NA,NM/DY,9571,YM/VV,8978,10,1
281,10117,R048,CR0150,NM/DY,YM/VV,10,29/05/2018,2018,07:16:00,22.8,2,16.4,37.06469667,NA,NM/DY,9571,YM/VV,8978,10,1
284,10118,R050,CR0151,VB/MB,BV/MB,2,21/05/2018,2018,08:44:00,3.7,3,14.2,32.10390534,NA,VB/MB,8687,BV/MB,8649,12,1
285,10118,R050,CR0151,VB/MB,BV/MB,5,24/05/2018,2018,09:26:00,7,2,16.7,33.7,NA,VB/MB,8687,BV/MB,8649,12,1
287,10118,R050,CR0151,VB/MB,BV/MB,10,29/05/2018,2018,09:23:00,12.1,3,19.5,36.83575748,NA,VB/MB,8687,BV/MB,8649,12,1
286,10118,R050,CR0151,VB/MB,BV/MB,12,31/05/2018,2018,11:49:00,13,2,23.4,38.50666804,NA,VB/MB,8687,BV/MB,8649,12,0
291,10119,R050,CR0152,VB/MB,BV/MB,2,21/05/2018,2018,08:44:00,5.9,4,14.2,30.53909582,NA,VB/MB,8687,BV/MB,8649,12,1
288,10119,R050,CR0152,VB/MB,BV/MB,5,24/05/2018,2018,09:26:00,12.9,1,16.6,34.77885051,NA,VB/MB,8687,BV/MB,8649,12,1
