"BirdID","Brood.natal","Brood.rearing","Age","Year","Mass","max.temp","Air.temp","surv"
"10147","R058","R061","2",2018,5.7,34.85351975,20.6,0
"10147","R058","R061","12",2018,18,39.01020375,18,1
"10147","R058","R061","10",2018,16.2,39.51055772,23.5,0
"10148","R058","R061","12",2018,17.8,40.00871533,18.1,1
"10148","R058","R061","10",2018,16.2,39.52180901,23.5,0
"10148","R058","R061","5",2018,8.6,31.3857927,19.2,1
"10148","R058","R061","2",2018,5.4,34.01460802,20.6,1
"10149","R058","R061","12",2018,9.9,37.11368884,18.1,1
"10149","R058","R061","5",2018,7.3,31.2,19.2,1
"10149","R058","R061","10",2018,9.4,36.64342449,23.4,1
"10149","R058","R061","2",2018,4.7,33.67025077,20.7,1
"10150","R055","R052","2",2018,3.7,28.7,16.1,1
"10150","R055","R052","5",2018,5.6,32.87050342,19.2,1
"10151","R055","R052","5",2018,15.3,36.38626302,19.2,1
"10151","R055","R052","2",2018,5.3,28.6,16.1,1
"10151","R055","R052","10",2018,29.8,38.9,24,0
"10151","R055","R052","12",2018,27.3,37.57802149,19.1,1
"10152","R061","R057","2",2018,1.4,30.3,20.9,1
"10153","R061","R057","10",2018,20.6,40.50220965,23.8,1
"10153","R061","R057","5",2018,8.1,32.8,19.4,1
"10153","R061","R057","2",2018,3.4,30.4,20.9,1
"10153","R061","R057","12",2018,23.2,38.02768237,20.2,1
"10154","R061","R057","5",2018,9.6,32.42555876,19.4,1
"10154","R061","R057","2",2018,2.8,30.9,20.9,1
"10154","R061","R057","12",2018,24,39.16658226,20.2,1
"10154","R061","R057","10",2018,22.1,37.81035991,23.8,1
"10155","R061","R061","2",2018,3.6,30,20.9,1
"10155","R061","R061","12",2018,7.1,35.14392749,18,1
"10155","R061","R061","10",2018,8.5,35.7,23.5,1
"10159","R064","R065","10",2018,24.2,38.6,20.3,1
"10159","R064","R065","5",2018,14.4,35.68281414,18.9,1
"10159","R064","R065","12",2018,24.6,39.2,20.2,0
"10159","R064","R065","2",2018,5.1,34.63272178,17.1,0
"10160","R064","R065","12",2018,24.6,38.5539094,20.2,1
"10160","R064","R065","10",2018,25.3,36.63698048,20.2,1
"10160","R064","R065","2",2018,6,33.29611351,17.1,1
"10160","R064","R065","5",2018,15.1,36.31754777,19,0
"10161","R064","R065","10",2018,16.9,38.00721037,19.9,1
"10161","R064","R065","5",2018,10.2,36.06974015,18.7,1
"10161","R064","R065","2",2018,3.3,32.25497605,17.1,1
"10161","R064","R065","12",2018,18.4,40.87647893,19.4,1
"10162","R065","R064","12",2018,22.3,40.04364394,19.5,1
"10162","R065","R064","5",2018,11.6,37.30943318,18.6,1
"10162","R065","R064","2",2018,4.5,34.1216676,17.4,1
"10162","R065","R064","10",2018,20.8,40.11330581,19.9,1
"10163","R065","R064","10",2018,22.8,38.90949837,19.9,1
"10163","R065","R064","5",2018,10.7,38.17659807,18.6,1
"10163","R065","R064","12",2018,22.7,39.48489465,19.4,1
"10163","R065","R064","2",2018,4.8,31.69701107,17.4,0
"10164","R071","R067","10",2018,22.3,37.71926319,20.5,0
"10164","R071","R067","5",2018,10.6,36.25443482,19.2,1
"10164","R071","R067","12",2018,27.3,37.94479091,21.3,1
"10164","R071","R067","2",2018,3.9,29.11460859,18.3,1
"10165","R071","R067","10",2018,20.2,36.5321679,20.5,1
"10165","R071","R067","12",2018,22.7,38.55051097,21.4,1
"10165","R071","R067","2",2018,4.1,28.44890725,18.3,1
"10165","R071","R067","5",2018,10.2,34.06975494,19.1,1
"10166","R071","R067","12",2018,19.7,37.52600895,21.4,1
"10166","R071","R067","2",2018,2.5,27.46148114,18.3,1
"10166","R071","R067","10",2018,13.8,37.06741465,20.5,0
"10166","R071","R067","5",2018,7,34.46350279,19.1,1
"10167","R067","R071","12",2018,23.5,38.87113496,23.6,1
"10167","R067","R071","10",2018,23,39.49905858,20.5,1
"10167","R067","R071","2",2018,3.8,28.17654244,18.3,1
"10167","R067","R071","5",2018,10,35.96835413,19.1,0
"10168","R067","R071","5",2018,7.1,33.8,19.1,1
"10168","R067","R071","10",2018,14.2,38.79370323,20.5,0
